SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
HOTELRUGBY,BE,5.35,5.6,5.1,5.6,5.6,5.35,8833,46871.3,24-Nov-22,25,INE275F01019
HOVS,EQ,55,55.5,54.1,54.6,54.5,54.5,4489,244915.1,24-Nov-22,77,INE596H01014
HPAL,EQ,397,408.8,390,391.3,392.55,395.65,30100,11844520.55,24-Nov-22,958,INE0GSL01016
HPIL,EQ,97.95,105.95,97.25,98.65,99,101.6,5105,505421.7,24-Nov-22,74,INE05X901010
HPL,EQ,91.1,92.5,90.4,91.2,91,91.4,131217,12016654.25,24-Nov-22,2459,INE495S01016
HSCL,EQ,98.7,99.15,97.05,98.35,98.4,98.2,2645158,259084273.8,24-Nov-22,13716,INE019C01026
HTMEDIA,EQ,19.55,19.8,19.4,19.45,19.45,19.4,142849,2793151.05,24-Nov-22,465,INE501G01024
HUBTOWN,BE,47.9,48.4,46.45,47.9,48,47.9,81763,3881969.5,24-Nov-22,538,INE703H01016
HUDCO,EQ,46.75,49.75,46.7,48.2,48.05,46.25,26885242,1303282695,24-Nov-22,44732,INE031A01017
HUDCO,N2,1172,1199,1172,1172.31,1199,1200,86,100819,24-Nov-22,2,INE031A07840
HUDCO,N4,1058.01,1059,1055.35,1058.5,1058.5,1064.99,1160,1225763.1,24-Nov-22,9,INE031A07857
HUDCO,N8,1201.15,1209,1184,1207.32,1203.03,1206,1826,2192641.75,24-Nov-22,73,INE031A07AO5
HUDCO,N9,1216.25,1218.15,1216.25,1218.15,1218.15,1234,999,1215983.75,24-Nov-22,4,INE031A07AT4
HUDCO,ND,1190.65,1193,1190.5,1193,1193,1191.78,21,25003.75,24-Nov-22,3,INE031A07949
HUDCO,NE,1404,1404,1395.2,1397.36,1398,1400,8261,11560163.05,24-Nov-22,29,INE031A07AB2
HUHTAMAKI,EQ,186.55,189.85,186.05,187.15,187,187.8,24598,4626364,24-Nov-22,958,INE275B01026
IBMFNIFTY,EQ,191.84,191.84,188.32,189.47,191.26,188.55,380,72034.2,24-Nov-22,49,INF666M01FS5
IBREALEST,EQ,83.2,83.7,80.25,80.8,80.3,84.25,10039549,818721464,24-Nov-22,33875,INE069I01010
